TYPE_ID,ID,RACE_ID,COMPETITION_ID,SEASON,ROUND,DATE,DRIVER_ID,TEAM_ID,QUALI,FINISH,FL
0,Belgium,0,0,1,1,2020-11-01,,,,,
1,,0,0,1,1,2020-11-01,1,1,2,1,1
1,,0,0,1,1,2020-11-01,0,0,1,2,0
1,,0,0,1,1,2020-11-01,2,2,3,3,0
1,,0,0,1,1,2020-11-01,3,1,4,4,0
1,,0,0,1,1,2020-11-01,8,3,0,5,0
1,,0,0,1,1,2020-11-01,9,2,0,6,0
1,,0,0,1,1,2020-11-01,4,3,5,7,0
1,,0,0,1,1,2020-11-01,5,3,6,8,0
1,,0,0,1,1,2020-11-01,6,4,7,9,0
1,,0,0,1,1,2020-11-01,7,5,8,10,0
0,Austria,1,0,1,2,2020-11-08,,,,,
1,,1,0,1,2,2020-11-08,1,1,0,1,0
1,,1,0,1,2,2020-11-08,0,0,1,2,0
1,,1,0,1,2,2020-11-08,2,2,0,3,1
1,,1,0,1,2,2020-11-08,3,1,0,4,0
1,,1,0,1,2,2020-11-08,9,2,0,5,0
1,,1,0,1,2,2020-11-08,5,3,0,6,0
1,,1,0,1,2,2020-11-08,6,4,0,7,0
1,,1,0,1,2,2020-11-08,4,3,0,8,0
1,,1,0,1,2,2020-11-08,10,-1,0,9,0
0,Bahrain,2,0,1,3,2020-01-15,,,,,
1,,2,0,1,3,2020-01-15,1,1,1,1,1
1,,2,0,1,3,2020-01-15,2,2,0,2,0
1,,2,0,1,3,2020-01-15,0,0,0,3,0
1,,2,0,1,3,2020-01-15,11,5,0,4,0
1,,2,0,1,3,2020-01-15,3,1,0,5,0
1,,2,0,1,3,2020-01-15,8,3,0,6,0
1,,2,0,1,3,2020-01-15,9,2,0,7,0
1,,2,0,1,3,2020-01-15,5,3,0,8,0
1,,2,0,1,3,2020-01-15,6,4,0,9,0
1,,2,0,1,3,2020-01-15,12,5,0,10,0
1,,2,0,1,3,2020-01-15,4,3,0,11,0
0,Italy,3,0,1,4,2020-11-22,,,,,
1,,3,0,1,4,2020-11-22,1,1,1,1,1
1,,3,0,1,4,2020-11-22,0,0,0,2,0
1,,3,0,1,4,2020-11-22,9,2,0,3,0
1,,3,0,1,4,2020-11-22,3,1,0,4,0
1,,3,0,1,4,2020-11-22,11,5,0,5,0
1,,3,0,1,4,2020-11-22,8,3,0,6,0
1,,3,0,1,4,2020-11-22,5,3,0,7,0
1,,3,0,1,4,2020-11-22,6,4,0,8,0
0,USA,4,0,1,5,2020-11-29,,,,,
1,,4,0,1,5,2020-11-29,2,2,0,1,0
1,,4,0,1,5,2020-11-29,3,1,0,2,0
1,,4,0,1,5,2020-11-29,0,0,0,3,0
1,,4,0,1,5,2020-11-29,1,1,1,4,1
1,,4,0,1,5,2020-11-29,9,2,0,5,0
1,,4,0,1,5,2020-11-29,5,3,0,6,0
0,Russia,5,0,1,6,2020-12-06,,,,,
1,,5,0,1,6,2020-12-06,0,0,1,1,1
1,,5,0,1,6,2020-12-06,3,1,0,2,0
1,,5,0,1,6,2020-12-06,9,2,0,3,0
1,,5,0,1,6,2020-12-06,2,2,0,4,0
1,,5,0,1,6,2020-12-06,5,3,0,5,0
1,,5,0,1,6,2020-12-06,4,3,0,6,0
1,,5,0,1,6,2020-12-06,6,4,0,7,0
1,,5,0,1,6,2020-12-06,13,-1,0,8,0
0,Mexico,6,0,2,1,2021-01-10,,,,,
1,,6,0,2,1,2021-01-10,1,1,0,1,1
1,,6,0,2,1,2021-01-10,14,6,1,2,0
1,,6,0,2,1,2021-01-10,15,6,0,3,0
1,,6,0,2,1,2021-01-10,16,7,0,4,0
1,,6,0,2,1,2021-01-10,17,3,1,5,0
1,,6,0,2,1,2021-01-10,18,4,0,6,0
1,,6,0,2,1,2021-01-10,3,1,0,7,0
1,,6,0,2,1,2021-01-10,19,7,0,8,0
1,,6,0,2,1,2021-01-10,4,3,0,9,0
1,,6,0,2,1,2021-01-10,20,9,-1,-1,0
1,,6,0,2,1,2021-01-10,21,9,-1,-1,0
0,Brazil,7,0,2,2,2021-01-17,,,,,
1,,7,0,2,2,2021-01-17,1,1,0,1,0
1,,7,0,2,2,2021-01-17,18,4,0,2,0
1,,7,0,2,2,2021-01-17,14,6,0,3,0
1,,7,0,2,2,2021-01-17,15,6,0,4,0
1,,7,0,2,2,2021-01-17,19,7,0,5,0
1,,7,0,2,2,2021-01-17,16,7,1,6,0
1,,7,0,2,2,2021-01-17,3,1,0,7,0
1,,7,0,2,2,2021-01-17,4,3,0,8,0
1,,7,0,2,2,2021-01-17,5,3,0,9,0
1,,7,0,2,2,2021-01-17,20,9,-1,-1,0
1,,7,0,2,2,2021-01-17,21,9,-1,-1,-1
0,Canada,8,0,2,3,2021-01-24,,,,,
1,,8,0,2,3,2021-01-24,1,1,0,1,0
1,,8,0,2,3,2021-01-24,14,6,0,2,0
1,,8,0,2,3,2021-01-24,15,6,0,3,0
1,,8,0,2,3,2021-01-24,18,1,0,4,0
1,,8,0,2,3,2021-01-24,19,7,1,5,0
1,,8,0,2,3,2021-01-24,3,3,0,6,0
1,,8,0,2,3,2021-01-24,5,3,0,7,0
1,,8,0,2,3,2021-01-24,6,4,0,8,0
1,,8,0,2,3,2021-01-24,16,7,0,9,0
1,,8,0,2,3,2021-01-24,20,9,-1,-1,0
1,,8,0,2,3,2021-01-24,21,9,-1,-1,-1
0,USA,9,0,2,4,2021-01-31,,,,,
1,,9,0,2,4,2021-01-31,1,1,2,1,1
1,,9,0,2,4,2021-01-31,15,6,5,2,0
1,,9,0,2,4,2021-01-31,19,7,6,3,0
1,,9,0,2,4,2021-01-31,3,3,7,4,0
1,,9,0,2,4,2021-01-31,18,1,1,5,0
1,,9,0,2,4,2021-01-31,14,6,3,6,0
1,,9,0,2,4,2021-01-31,16,7,4,7,0
1,,9,0,2,4,2021-01-31,5,3,8,8,0
1,,9,0,2,4,2021-01-31,6,4,0,9,0
1,,9,0,2,4,2021-01-31,22,8,0,10,0
1,,9,0,2,4,2021-01-31,20,9,-1,-1,0
1,,9,0,2,4,2021-01-31,21,9,-1,-1,0
0,UAE,10,0,2,5,2021-02-07,,,,,
1,,10,0,2,5,2021-02-07,14,6,0,1,0
1,,10,0,2,5,2021-02-07,15,6,0,2,0
1,,10,0,2,5,2021-02-07,19,7,1,3,0
1,,10,0,2,5,2021-02-07,3,1,0,4,0
1,,10,0,2,5,2021-02-07,16,7,0,5,0
1,,10,0,2,5,2021-02-07,18,1,0,6,1
1,,10,0,2,5,2021-02-07,23,-1,0,7,0
1,,10,0,2,5,2021-02-07,5,3,0,8,0
1,,10,0,2,5,2021-02-07,6,4,0,9,0
1,,10,0,2,5,2021-02-07,4,3,0,10,0
1,,10,0,2,5,2021-02-07,20,9,-1,-1,0
1,,10,0,2,5,2021-02-07,21,9,-1,-1,0
0,Malaysia,11,0,2,6,2021-02-14,,,,,
1,,11,0,2,6,2021-02-14,15,6,4,1,1
1,,11,0,2,6,2021-02-14,18,1,1,2,0
1,,11,0,2,6,2021-02-14,1,1,2,3,0
1,,11,0,2,6,2021-02-14,14,6,3,4,0
1,,11,0,2,6,2021-02-14,3,3,5,5,0
1,,11,0,2,6,2021-02-14,2,3,7,6,0
1,,11,0,2,6,2021-02-14,19,7,0,7,0
1,,11,0,2,6,2021-02-14,16,7,6,8,0
1,,11,0,2,6,2021-02-14,5,4,0,9,0
1,,11,0,2,6,2021-02-14,6,4,8,10,0
1,,11,0,2,6,2021-02-14,20,9,-1,-1,0
1,,11,0,2,6,2021-02-14,21,9,-1,-1,0
0,China,12,0,2,7,2021-01-21,,,,,
1,,12,0,2,7,2021-01-21,1,1,1,1,0
1,,12,0,2,7,2021-01-21,14,6,3,2,0
1,,12,0,2,7,2021-01-21,15,6,2,3,0
1,,12,0,2,7,2021-01-21,3,3,5,4,0
1,,12,0,2,7,2021-01-21,19,7,7,5,1
1,,12,0,2,7,2021-01-21,18,1,4,6,0
1,,12,0,2,7,2021-01-21,16,7,6,7,0
1,,12,0,2,7,2021-01-21,5,3,8,8,0
1,,12,0,2,7,2021-01-21,6,9,9,9,0
1,,12,0,2,7,2021-01-21,21,9,-1,-1,0
0,Japan,13,0,2,8,2021-02-28,,,,,
1,,13,0,2,8,2021-02-28,14,6,2,1,1
1,,13,0,2,8,2021-02-28,1,3,1,2,0
1,,13,0,2,8,2021-02-28,18,3,3,3,0
1,,13,0,2,8,2021-02-28,15,6,6,4,0
1,,13,0,2,8,2021-02-28,19,7,4,5,0
1,,13,0,2,8,2021-02-28,5,1,7,6,0
1,,13,0,2,8,2021-02-28,3,1,5,7,0
1,,13,0,2,8,2021-02-28,6,7,8,8,0
1,,13,0,2,8,2021-02-28,20,9,-1,-1,0
1,,13,0,2,8,2021-02-28,21,9,-1,-1,0
